x,y
-7.115372,0.0
-6.936574479639905,0.0
-7.199957695125583,0.0
-7.4785055874740065,0.0
-7.572983348801956,0.0
-8.188904555976887,0.0
-9.733404138892299,0.0
-9.761017274475227,0.0
-9.858880491938672,0.0
-9.363579931242002,0.0
-9.649960367392648,0.0
-9.936016744849937,0.0
-10.464584077802998,0.0
-9.388613573336894,0.0
-8.431548526221453,0.0
-6.30934226771945,0.0
-6.926905693398694,0.0
-8.13019991132757,0.0
-9.65442277853866,0.0
-11.247173182373183,0.0
-12.715183747609592,0.0
-15.198786880802235,0.0
-13.940826360265618,0.0
-13.288203837510643,0.0
-13.320866020885365,0.0
-11.984606720034598,0.0
-11.74645041908777,0.0
-12.433697522322003,0.0
-12.511350012756946,0.0
-11.543582061295519,0.0
-10.187706622568575,0.0
-9.117069715485378,0.0
-7.9089638798284385,0.0
-7.262722895567327,0.0
-7.690224151981601,0.0
-7.2203929890869,0.0
-7.14785202277861,0.0
-7.8640153323199815,0.0
-8.45318800209307,0.0
-8.160785796995238,0.0
-8.72332826659011,0.0
-9.325885117734423,0.0
-10.123357374179031,0.0
-11.54901887870134,0.0
-11.486231633844588,0.0
-10.786722173779467,0.0
-9.838444098456536,0.0
-9.088506391319974,0.0
-7.737054232881365,0.0
-8.682907184195432,0.0
-12.29498911090475,0.0
-9.804169833682497,0.0
-9.91669057339259,0.0
-11.892763405260569,0.0
-10.542370645826814,0.0
-11.251180181389897,0.0
-13.044727362275507,0.0
-13.956042463477477,0.0
-14.753207093086948,0.0
-15.736904644718535,0.0
-15.185022504818424,0.0
-14.912572632991282,0.0
-12.228765895973043,0.0
-9.837228719815393,0.0
-8.77804316704402,0.0
-8.034994627057994,0.0
-7.033751952696151,0.0
-6.299492725959199,0.0
-5.984533607282087,0.0
-5.339693834996631,0.0
-6.68189559798572,0.0
-7.254326742663956,0.0
-7.535700573937204,0.0
-9.143927041476731,0.0
-10.23248165273575,0.0
-10.440698258926979,0.0
-11.850063434344143,0.0
-12.447172753194463,0.0
-12.592415850733564,0.0
-11.3487086883832,0.0
-11.045395726282171,0.0
-11.302875905938887,0.0
-7.33194255008108,0.0
-7.915539981234974,0.0
-10.110716436714677,0.0
-8.740740634769516,0.0
-11.120217436282317,0.0
-12.543120741173883,0.0
-12.59238455201276,0.0
-13.258409996295615,0.0
-13.405176267317728,0.0
-12.330395623413146,0.0
-11.799979059648015,0.0
-12.055401628533437,0.0
-12.45034371214929,0.0
-11.158459461658651,0.0
-9.339583230892726,0.0
-8.615743418563966,0.0
-7.379113105482701,0.0
-6.757336480209961,0.0
-7.381910166062484,0.0
-7.09398129887679,0.0
-6.784350712046633,0.0
-7.041140008874166,0.0
-7.699644586598739,0.0
-8.35095131863636,0.0
-9.425669502765608,0.0
-10.34689951755169,0.0
-10.669990144640348,0.0
-11.192024842184752,0.0
-10.88216742908428,0.0
-10.96062647606594,0.0
-10.71328403210914,0.0
-8.35202640087778,0.0
-6.914922001416219,0.0
-8.695081786178028,0.0
-8.272105956947184,0.0
-8.65013975059809,0.0
-9.852407806762315,0.0
-11.31523202622686,0.0
-12.463898482717427,0.0
-13.005983967803754,0.0
-12.87000929015656,0.0
-13.208765107056,0.0
-13.72222924757701,0.0
-11.849434555571808,0.0
-11.885960414685227,0.0
-12.904065858839472,0.0
-11.220103368069136,0.0
-9.257356463191268,0.0
-8.388892865881846,0.0
-7.977793492473392,0.0
-7.169500084045708,0.0
-7.230256794159704,0.0
-6.663295319170737,0.0
-6.426445377959508,0.0
-6.150174637373903,0.0
-8.7249682936532,0.0
-9.319742518172871,0.0
-8.456503324261035,0.0
-10.635971411715902,0.0
-11.835018445143259,0.0
-11.77325105224197,0.0
-10.604497891986647,0.0
-10.247673716220683,0.0
-9.989953613073954,0.0
-8.682743487451038,0.0
-7.902597233821072,0.0
-7.7436185242767825,0.0
-7.5593671892405405,0.0
-8.548848053854758,0.0
-9.631774801816096,0.0
-10.834693807447374,0.0
-12.938999922899523,0.0
-13.575005363415917,0.0
-12.632850643858667,0.0
-13.053029070304605,0.0
-11.899905188544649,0.0
-11.702903681882239,0.0
-11.98871863739992,0.0
-12.389927206396678,0.0
-11.306594627559186,0.0
-9.857417809090245,0.0
-8.62296031065512,0.0
-8.263815539719051,0.0
-7.392266078353476,0.0
-7.393518763492582,0.0
-8.090772285769377,0.0
-8.00509106391981,0.0
-7.568492716465779,0.0
-8.088342357493843,0.0
-9.341113326181846,0.0
-11.169848346209541,0.0
-12.388434775476222,0.0
-10.565184418837605,0.0
-10.061731563940636,0.0
-11.405588655088854,0.0
-11.301589590407845,0.0
-10.278363187853492,0.0
-9.341307685004008,0.0
-7.783446976942047,0.0
-7.443640078651947,0.0
-7.543474357613978,0.0
-8.86618880814406,0.0
-9.625610177943555,0.0
-10.71713448609447,0.0
-12.491898717450654,0.0
-13.009171724190498,0.0
-13.711926242826328,0.0
-14.719824414846594,0.0
-13.28669642192353,0.0
-12.568472296855196,0.0
-12.641382120411102,0.0
-12.261428478586552,0.0
-10.92639372583033,0.0
-9.208142490798632,0.0
-8.273903896021189,0.0
-7.5671017206195375,0.0
-7.184595311997346,0.0
-6.680508776464585,0.0
-6.559785205591573,0.0
-6.811475336638417,0.0
-7.2929415657968315,0.0
-8.201918879699294,0.0
-10.242381886746733,0.0
-10.5342103745793,0.0
-11.76528541537711,0.0
-11.989254038528834,0.0
-11.954585270385897,0.0
-11.13954538276458,0.0
-11.134007394102683,0.0
-11.120240088857571,0.0
-9.719759925465134,0.0
-8.073027562958139,0.0
-7.574084232855529,0.0
-7.104136818269815,0.0
-8.537183315357218,0.0
-9.876818177673961,0.0
-10.208211289113425,0.0
-11.383461114835946,0.0
-12.545687237931412,0.0
-13.00512694668171,0.0
-13.833191166950735,0.0
-14.439802172678169,0.0
-13.74404127873777,0.0
-13.134667595985249,0.0
-13.464384952856385,0.0
-13.109174177194708,0.0
-11.485291234239682,0.0
-9.598002281470475,0.0
-8.35358109781115,0.0
-7.322905622101005,0.0
-6.182614513267484,0.0
-6.4130117373946005,0.0
-6.010175279610819,0.0
-6.183330659036452,0.0
-7.370769376251077,0.0
-8.486111323290997,0.0
-10.024634721562165,0.0
-11.348210861203935,0.0
-12.533921808242036,0.0
-11.955341399446139,0.0
-11.773051825916564,0.0
-12.202461532167707,0.0
-12.728717788233142,0.0
-11.484961761946685,0.0
-9.672518950189676,0.0
-7.578584303756881,0.0
-7.1760377143295235,0.0
-7.452717652513145,0.0
-9.528048048827012,0.0
-10.7059045340766,0.0
-10.991517417927248,0.0
-12.480293817137914,0.0
-13.232220451839627,0.0
-12.604917419963527,0.0
-13.054850187631097,0.0
-12.92375292240626,0.0
-12.863896128981818,0.0
-13.49232625745745,0.0
-13.353691135151228,0.0
-12.429487241541514,0.0
-10.280040922723284,0.0
-9.00852180560186,0.0
-8.667419675667984,0.0
-7.735278600267998,0.0
-7.027217705039381,0.0
-6.357224151663989,0.0
-5.566829644103349,0.0
-5.414673389163389,0.0
-6.798025723837305,0.0
-8.461664401266464,0.0
-9.577042762584083,0.0
-11.052567011682305,0.0
-13.281853058909151,0.0
-13.467375192665987,0.0
-13.546092932765985,0.0
-13.379274028252668,0.0
-12.674672501104562,0.0
-10.412186955070686,0.0
-7.80655810571381,0.0
-7.5973626691913765,0.0
-7.282758281514734,0.0
-8.30888943858819,0.0
-9.424654410846834,0.0
-10.143008794973742,0.0
-11.662656145365416,0.0
-12.759444921039893,0.0
-13.358741444016596,0.0
-13.599983742077786,0.0
-14.05061862156123,0.0
-12.579051650870952,0.0
-11.861763432080894,0.0
-12.32389693612584,0.0
-11.78888678844879,0.0
-10.480763480852676,0.0
-9.563530317306329,0.0
-8.825794150753964,0.0
-7.70170382893856,0.0
-7.326772945750945,0.0
-7.083826795090922,0.0
-6.783924747840249,0.0
