time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.005672,-0.619522,-4.519217,-8.412478
0.038481,-0.554726,-4.954678,-8.640084
0.071816,-1.120077,-5.481571,-8.957926
0.105301,-0.375454,-5.220145,-9.323205
0.138501,-0.327868,-5.339859,-9.811938
0.171841,-0.599021,-5.813180,-9.642991
0.205169,-0.374257,-4.934476,-10.181556
0.238693,0.187353,-3.652934,-10.776088
0.271839,0.075121,-3.224806,-10.129181
0.305290,0.355851,-3.347064,-9.707039
0.338542,0.301830,-3.668048,-9.021824
0.371963,0.316345,-3.727905,-8.742291
0.405201,0.377250,-3.546239,-8.008891
0.438537,0.161914,-3.308755,-8.620332
0.471877,-0.329963,-3.309803,-8.927997
0.505205,-0.469879,-3.423382,-8.043308
0.538539,-0.485891,-4.252104,-7.002991
0.571876,-0.490829,-4.771964,-6.513658
0.605202,-0.618175,-5.109109,-4.080464
0.638546,-0.957116,-3.835648,-8.193700
0.671903,0.380392,-4.763285,-8.403499
0.705197,1.496130,-5.706484,-9.506218
0.738555,0.914767,-6.394393,-9.619946
0.771862,0.621916,-5.901170,-9.120438
0.805145,1.415473,-5.912842,-9.917586
0.838457,-0.432618,-6.324659,-10.346912
0.871792,-0.740134,-5.141133,-9.944672
0.905132,0.048933,-4.829277,-10.379384
0.938462,-0.104451,-2.686839,-10.910916
0.971888,2.102483,-2.744452,-9.597949
1.005141,1.066206,-3.082794,-9.081382
1.038506,0.245564,-2.404164,-6.615715
1.071837,-1.053486,-3.890866,-8.458119
1.105285,-1.373124,-2.303604,-7.154280
1.138511,0.954572,-3.520799,-7.089035
1.171871,1.383150,-3.256380,-7.184657
1.205250,1.174697,-2.641497,-6.403371
1.238507,0.458207,-2.851297,-9.562035
1.271809,1.723737,-2.574906,-8.333765
1.305320,4.575932,-1.218991,-5.722496
1.338506,2.352537,-0.925542,-10.908672
1.371846,3.167343,-3.584098,-11.603015
1.405280,-2.180747,-3.826520,-10.384622
1.438546,1.097332,-3.813950,-13.466967
1.471848,0.040404,-3.220167,-10.361577
1.505203,2.181196,-1.945059,-14.176425
1.538490,0.266364,-1.501218,-8.834920
1.571839,-3.923937,-1.620483,-8.791074
1.605223,-1.501817,-1.887746,-13.068767
1.638564,-8.430734,-3.049723,-7.976717
1.671797,-6.067722,-1.765936,-7.443539
1.705321,-3.415600,-4.405039,-9.599445
1.738515,-3.142652,-3.273888,-6.270788
1.771868,-4.181024,-3.886976,-4.868933
1.805318,-2.926567,-1.815468,-8.179932
1.838503,-2.277566,-3.606245,-4.999720
1.871866,-2.262601,-4.444096,-10.174074
1.905191,-1.099127,-4.545405,-8.972441
1.938755,-1.954636,-3.328508,-9.179697
1.971878,-3.861536,-3.829513,-5.261596
2.005163,-5.057782,-1.864401,-4.190751
2.038543,-1.386592,0.419599,-7.423038
2.071866,-3.975415,1.191756,-7.104449
2.105164,-5.374426,4.581169,-4.280088
2.138546,-6.388108,5.325643,-3.068279
2.171846,-9.149768,4.478364,-2.269635
2.205198,-13.114259,4.872374,1.534738
2.238547,-9.036339,3.184103,-1.430587
2.271819,-9.022422,2.768544,-5.071699
2.305321,-9.068063,2.586129,-3.055260
2.338515,-9.096944,3.038949,-3.997412
2.372133,-9.516693,8.441808,11.021353
2.405151,-13.623644,3.976163,-3.573773
2.438543,-11.994481,2.938539,1.866496
2.471835,-12.050148,6.000233,5.153404
2.505278,-12.112250,3.962396,-2.894544
2.538822,-9.075695,7.863138,-0.742079
2.571831,-4.410277,7.737289,4.060412
2.605197,-8.868290,6.867115,-0.232994
2.638543,-14.901894,11.662124,-3.768907
2.671920,-9.515047,7.060304,-4.307622
2.705322,-13.387058,9.127920,-5.482918
2.738579,-6.943582,5.884410,2.359271
2.771873,2.486766,11.186110,1.122172
2.805258,-3.839988,9.856083,-9.575951
2.838499,-2.693573,2.739064,-6.162895
2.871819,-1.035529,5.754968,-8.703383
2.905176,-3.181708,8.314761,-4.291460
2.938580,-2.638953,6.226942,-4.022851
2.971956,-3.172879,0.277737,-5.849692
3.005174,-7.366922,7.538563,-4.283529
3.038543,-5.388044,6.832098,-3.940398
3.071976,-0.988242,3.117811,3.203257
3.105170,-0.576125,6.707296,-7.381887
3.138523,-6.756529,9.898881,-8.217642
3.171862,-4.926844,4.364785,-0.442195
3.205178,-2.993607,10.734038,-10.962842
3.238543,-5.444160,12.856723,-15.233502
3.271973,-4.874619,16.400119,6.010259
3.305205,0.332956,8.418314,4.104856
3.354486,0.312155,4.921757,0.085296
3.379740,1.083714,6.050663,-1.164970
3.405189,0.779041,8.989201,-1.794668
3.438541,-0.218778,8.884302,0.335499
3.471908,1.086857,16.364204,3.541899
3.505177,-0.847278,10.273138,-1.844798
3.538617,-1.311022,12.044013,-4.206463
3.571918,1.646372,7.155626,0.126448
3.605173,1.928898,7.016608,1.831779
