time_tick,acc_X_value,acc_Y_value,acc_Z_value
4.796879,-11.548844,3.804522,-1.250865
4.830360,-11.483899,3.405125,-1.101222
4.863570,-10.786264,3.099255,-0.421095
4.896881,-9.838575,2.081084,-1.541023
4.930377,-9.083028,1.415473,-1.831480
4.963562,-7.736840,0.830518,-1.742891
4.996893,-8.683481,-0.816452,-2.413890
5.030357,-12.297358,-1.395720,-3.579459
5.063571,-9.802960,-0.922549,-4.718242
5.096823,-9.912498,-1.242785,-1.034781
5.130157,-11.892424,-1.579930,0.442195
5.163489,-10.544291,-0.628949,0.383385
5.196966,-11.255245,0.398200,-0.839497
5.230382,-13.051559,0.563256,-0.104750
5.263554,-13.956001,1.737504,-1.321497
5.296862,-14.752251,1.333618,-2.757770
5.330267,-15.737051,1.349630,-1.183975
5.363574,-15.184868,2.452349,-1.006199
5.396823,-14.915361,4.515027,-1.974838
5.430387,-12.213857,4.276346,-2.346401
5.463491,-9.840520,3.683611,-2.983731
5.496863,-8.778654,3.286009,-3.367266
5.530250,-8.034330,3.134272,-1.974389
5.563516,-7.035014,3.074414,-1.339903
5.596848,-6.299968,3.474111,-1.102719
5.630468,-5.979283,3.523792,-1.131151
5.663493,-5.338961,3.678224,-0.492026
5.696888,-6.681707,4.560518,-0.193339
5.730260,-7.254391,4.555880,0.233593
5.763484,-7.533475,4.107250,-0.680277
5.796870,-9.142735,4.952733,-0.325024
5.830281,-10.233034,4.798900,-0.323079
5.863484,-10.438793,3.991426,-1.369383
5.896857,-11.848729,3.569284,-1.916777
5.930481,-12.450293,3.274038,-2.898285
5.963487,-12.593801,2.497391,-2.345354
5.996836,-11.350866,0.730407,-1.468446
6.030213,-11.044996,0.416157,-2.532707
6.063503,-11.307021,-0.373210,-3.344071
6.096883,-7.332953,0.181667,-2.227735
6.130362,-7.926587,0.723823,-2.103531
6.163493,-10.110925,0.159819,-1.523515
6.196813,-8.740495,0.636282,-1.904805
6.230227,-11.119967,0.776348,-1.845995
6.263559,-12.543072,0.437257,-3.442835
6.296815,-12.591706,-0.403886,-3.771900
6.330243,-13.258664,1.239642,-3.328358
6.363508,-13.406212,1.508251,-4.160373
6.396892,-12.330579,0.521805,-3.130082
6.430243,-11.799945,1.151054,-3.152977
6.463489,-12.054039,2.417033,-4.086599
6.496859,-12.450742,3.298430,-3.633331
6.530197,-11.160521,3.144597,-3.196822
6.563605,-9.338169,2.846209,-3.707703
6.596884,-8.616142,2.823463,-4.138076
6.630118,-7.383383,2.471503,-3.412607
6.663558,-6.757277,2.273076,-3.437747
6.696867,-7.381587,2.468660,-2.684744
6.730215,-7.094273,2.625336,-1.955235
6.763559,-6.784362,3.164799,-1.702637
6.796883,-7.040850,3.364572,-1.690067
6.830184,-7.698681,4.085402,-1.960921
6.863569,-8.350974,3.935909,-1.829684
6.896838,-9.423465,4.120269,-1.852131
6.930274,-10.347510,4.101115,-1.843302
6.963506,-10.669093,3.457051,-2.183590
6.996878,-11.191946,3.074265,-2.360767
7.030197,-10.882484,2.567125,-3.855102
7.063495,-10.959999,2.181046,-3.955362
7.096908,-10.713088,1.157787,-4.378104
7.130025,-8.369081,0.607251,-3.598614
7.163545,-6.914402,0.220723,-3.257727
7.196891,-8.694704,0.319039,-3.483688
7.230073,-8.274656,0.315298,-1.828487
7.263492,-8.647866,0.304823,-1.623476
7.296889,-9.851743,0.071080,-1.620035
7.330134,-11.310912,0.015713,-1.128009
7.363439,-12.460319,0.444739,-1.707426
7.396884,-13.005917,0.773055,-2.541835
7.430124,-12.870341,0.820193,-3.545939
7.463451,-13.205541,2.043674,-5.062122
7.496831,-13.724204,0.797148,-5.141732
7.530133,-11.854116,-0.067040,-3.189490
7.563500,-11.883296,1.410085,-4.289365
7.596802,-12.904759,2.509063,-4.909187
7.630243,-11.219929,2.137649,-4.370322
7.663477,-9.261552,1.717901,-4.593290
7.696829,-8.389881,1.430138,-4.365085
7.730270,-7.977166,2.021527,-3.894607
7.763631,-7.168945,1.547308,-2.449954
7.796876,-7.230448,1.591153,-1.688870
7.830254,-6.663151,2.031104,-2.177155
7.863569,-6.426566,1.472487,-2.330689
7.896848,-6.147781,1.614348,-2.022275
7.930216,-8.723136,2.393838,-2.162490
7.963549,-9.320511,1.801402,-2.630723
7.996863,-8.455575,1.611056,-2.905168
8.030242,-10.635872,2.180298,-2.835135
8.063503,-11.833914,1.951344,-2.497391
8.096853,-11.774655,1.107807,-2.043225
8.130262,-10.603998,0.345825,-4.203021
8.163516,-10.247699,0.154432,-4.142865
8.196950,-9.988966,-0.589593,-3.400786
8.230210,-8.684079,-1.331074,-2.839325
8.263558,-7.902794,-1.328081,-2.796827
8.296862,-7.744022,-1.334815,-2.293877
8.330449,-7.561608,-1.143422,-1.825943
8.363521,-8.546707,-0.920304,-1.757706
