time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.019769,-1.014729,-7.440247,-6.538798
0.053068,-1.341998,-6.892853,-6.689339
0.086396,-0.305421,-6.582344,-7.401191
0.119775,0.309013,-6.131171,-7.919404
0.153271,-2.103681,-6.185192,-8.374618
0.186400,-1.164970,-5.032642,-4.878360
0.219770,-2.541985,-5.350633,-2.695069
0.253415,3.908524,-8.656096,-4.233100
0.286465,-1.670315,-2.792786,-4.319444
0.319764,2.955299,-8.296055,-5.140385
0.353218,1.149856,-5.830089,-7.775597
0.386438,1.138035,-5.929003,-8.488795
0.419778,0.372611,-6.852300,-7.292250
0.453111,0.967591,-7.609045,-8.130550
0.486440,0.455812,-7.060454,-12.790731
0.519778,-0.273098,-7.125847,-6.889861
0.553077,-1.386292,-8.404247,-8.265977
0.586486,0.143059,-7.448777,-9.014491
0.619780,-0.691500,-5.634656,-10.603250
0.653113,-0.068836,-6.783315,-7.848024
0.686482,1.077130,-5.896680,-7.314098
0.719731,0.927786,-5.935288,-6.144040
0.753111,-0.057164,-5.406300,-3.126490
0.786473,-0.446086,-3.429068,-4.284427
0.819745,-1.116636,-1.711017,-2.632668
0.853202,0.138420,-0.742977,-0.660374
0.886487,0.394309,0.123156,2.612616
0.919787,-2.646286,1.103317,2.257962
0.953104,-5.301101,-0.078263,3.033263
0.986476,-9.873891,-0.094425,1.955085
1.019810,-17.527379,-0.700329,-3.117063
1.053077,-15.446295,0.132733,-2.756423
1.086424,-17.420833,2.557398,-2.847855
1.119800,-20.550017,4.993585,-3.894907
1.153077,-22.617185,5.747187,-8.295756
1.186505,-19.356315,2.600495,-8.742291
1.219782,-17.842527,1.519175,-9.730533
1.253112,-17.208340,-0.596177,-10.226599
1.286415,-14.583154,-1.803048,-8.610904
1.319780,-13.442576,-0.955171,-8.887444
1.353115,-9.966968,-1.216298,-6.490613
1.386444,-5.897279,-1.540275,-3.187694
1.419778,-6.824916,-1.855423,-3.619414
1.453115,-8.195944,-2.598101,-3.637072
1.486454,-8.646968,-2.604236,-1.577985
1.519777,-9.303452,-2.254670,-2.146478
1.553116,-10.506282,-1.678844,-3.248599
1.586437,-12.827094,-0.186754,-2.357924
1.619771,-14.196477,0.297490,-2.766000
1.653111,-14.961601,0.089486,-1.149108
1.686445,-15.303535,0.974475,-1.821753
1.719752,-15.963910,1.147911,-2.260955
1.753108,-17.562994,1.307730,-2.524626
1.786483,-16.739210,3.035058,-1.168113
1.819773,-15.762191,4.378104,-3.215378
1.853112,-16.463567,5.202487,-3.764717
1.886443,-13.018188,4.605262,-2.325302
1.919777,-10.485032,4.155734,-2.775727
1.953111,-8.634997,3.754841,-3.409465
1.986377,-6.366858,3.164050,-3.095664
2.019775,-5.239299,2.625635,-2.674568
2.053190,-5.089357,2.891850,-2.117597
2.086449,-4.746974,3.167941,-1.428492
2.119913,-3.921094,3.198019,-0.735046
2.153069,-4.172045,3.586343,-0.836504
2.186514,-5.135596,3.420239,-0.755098
2.219776,-8.055280,3.276881,-0.926140
2.253072,-9.136450,3.902987,-0.996772
2.286640,-10.542495,4.541514,-1.764290
2.319774,-12.562974,4.175936,-1.905404
2.353142,-14.028577,4.317199,-2.097246
2.386436,-16.091405,4.392918,-2.939885
2.419784,-16.494992,2.339817,-1.884454
2.453225,-15.072935,0.018406,-1.902411
2.486502,-13.443024,-1.232609,-2.613065
2.519742,-10.976609,-1.261041,-2.730385
2.553109,-10.394798,-0.918059,-2.466565
2.586491,-10.152376,-1.181431,-2.581939
2.619782,-11.038113,-1.815618,-1.953738
2.653114,-13.364013,-1.792124,-1.716405
2.686419,-13.888811,-1.768181,-0.758839
2.719733,-14.166398,-1.907050,-1.486104
2.753077,-14.177173,-1.023258,-1.879815
2.786458,-13.897640,-0.263671,-2.748043
2.819738,-15.293509,0.018406,-1.979327
2.853112,-15.366086,0.965796,-0.920603
2.886465,-14.969831,2.590619,-1.558681
2.919732,-14.651691,4.137029,-3.295437
2.953108,-13.667190,4.175786,-4.943155
2.986469,-11.335004,4.078818,-5.647974
3.019755,-9.664091,4.387531,-4.269912
3.053094,-8.273010,4.333660,-2.709585
3.086436,-7.624607,4.192546,-1.984116
3.119780,-6.818780,4.000255,-1.238744
3.153152,-6.449012,3.531125,-0.915665
3.186432,-5.864208,3.470070,-1.151353
3.219745,-5.923167,3.934263,-0.535422
3.253223,-6.399930,4.059215,-0.310808
3.286433,-6.799476,3.611483,-0.045940
3.319755,-7.628648,4.113385,-0.692697
3.353104,-9.233868,4.222026,-0.949036
3.386478,-10.948327,4.156632,-0.375753
3.419778,-12.612356,4.376158,-0.832763
3.453135,-13.859481,4.179228,-1.867993
3.486729,-13.624242,2.934797,-2.695518
3.519782,-11.998371,0.789067,-2.522232
3.553111,-10.174972,-0.572983,-2.809696
3.586495,-8.747827,-1.102120,-2.540638
3.619734,-8.459316,-0.422143,-2.256017
3.653076,-8.532641,-0.235538,-1.801103
3.686943,-10.280770,-0.607999,-1.267326
3.719720,-13.413844,-1.255504,-1.396318
3.753113,-14.405678,-1.165419,-0.524050
3.787018,-15.253405,-0.960857,-0.413613
3.819721,-15.244576,-0.857005,-1.130253
3.853118,-14.963397,-0.190795,-2.250480
3.886568,-14.253491,-0.952627,-3.321176
3.919764,-13.762063,-0.309013,-2.213518
3.953111,-13.807405,1.595493,-1.538180
3.986561,-14.870618,2.945572,-2.212022
4.019851,-13.807555,3.173328,-2.464021
4.053100,-11.459956,2.911304,-2.842318
4.086525,-10.270145,2.696416,-1.979776
4.119887,-9.020028,2.472850,-1.486254
4.153073,-7.879300,2.759416,-2.117298
4.186408,-7.209199,3.169737,-2.000128
4.219866,-6.524732,3.239471,-1.641284
4.253112,-6.253429,3.763520,-1.190559
4.286515,-5.867650,4.126105,-0.962803
4.319972,-5.901020,4.524754,-0.851169
4.353074,-9.222794,5.705586,-0.031724
4.386418,-10.236176,5.142929,-0.019753
4.419777,-9.377974,3.326862,-1.600581
4.453071,-10.146690,2.936743,-3.137264
4.486448,-14.241968,3.443284,-1.815468
4.519743,-14.692543,2.437684,0.341336
4.553112,-11.843042,1.016973,-0.289409
4.586537,-9.914444,0.464492,-1.832228
4.619740,-8.032235,-0.340438,-2.814784
4.653116,-7.689552,-0.452371,-1.376715
4.686528,-8.759649,-0.395806,-0.851768
4.719720,-9.620545,-0.815704,-0.708260
4.753110,-12.856723,-1.971845,-1.151951
4.786426,-14.538411,-1.650262,-0.903843
4.819742,-14.499055,-0.885437,-1.280944
4.853113,-13.904224,-0.421095,-1.966009
4.886430,-14.593031,0.711552,-2.465816
4.919778,-14.804027,-0.100859,-3.171832
4.953100,-14.710800,-0.661123,-2.066419
4.986549,-14.980606,0.975073,-1.518427
5.019784,-15.536679,2.726046,-2.003120
5.053117,-13.313883,2.825408,-2.127623
5.086481,-11.064300,2.550065,-2.317820
5.119798,-9.155754,2.365705,-2.384860
5.153112,-7.673840,2.559792,-2.129718
5.186567,-7.249303,2.836482,-2.203043
5.219733,-6.604791,3.155820,-1.595194
5.253092,-6.078646,3.440591,-1.285283
5.286675,-5.910148,3.465731,-0.543204
5.319744,-5.612808,3.796292,-0.230749
5.353063,-8.026548,4.393068,-0.319338
5.386609,-8.212405,4.299242,-0.577023
5.419729,-8.892682,5.011692,-0.553529
5.453114,-10.974514,4.391721,-0.883791
5.486471,-10.580205,3.349458,-1.683633
5.519699,-11.783035,3.122300,-3.222711
5.553157,-14.416601,2.655115,-1.392278
5.586383,-14.209196,1.407841,0.541558
5.619620,-11.545702,0.391915,-1.334665
5.653089,-8.374768,-0.159669,-4.080314
5.686496,-7.113128,-0.317542,-3.241266
5.719783,-7.158769,-0.518064,-2.598849
5.752970,-8.730020,-0.452371,-1.670614
5.786556,-10.441636,-0.524947,-2.519538
5.819744,-11.153188,-0.800440,-3.772798
5.853080,-12.982573,-0.368571,-4.383491
5.886433,-13.907965,-0.100560,-4.354310
5.919745,-13.900782,-1.032686,-3.353199
5.953095,-13.765355,0.741182,-3.915408
5.986457,-13.772089,0.755697,-4.356854
6.019739,-14.243165,0.838300,-3.396147
6.053133,-14.171037,1.660139,-2.209328
6.086460,-13.789747,2.419128,-2.483923
6.119796,-12.995442,2.399525,-2.923425
6.153122,-11.334106,1.908845,-2.570567
6.186487,-9.313029,1.787635,-2.088866
6.219780,-8.566011,2.027063,-2.314079
6.253231,-7.746267,2.158749,-2.156953
6.286478,-6.790348,2.533156,-1.743041
6.319757,-7.064494,2.974004,-1.225725
6.353322,-6.919939,3.239620,-0.881247
6.386484,-7.070180,3.878147,-0.686113
6.419776,-8.102866,4.125506,-0.809269
6.453111,-8.325086,2.833190,-1.305335
6.486481,-8.226022,3.701718,-0.800290
6.519778,-9.348644,4.233698,-1.184125
6.553070,-10.957455,3.510923,-1.488798
6.586290,-11.065198,3.298729,-1.806789
6.619742,-13.090915,3.243062,-2.463422
6.653109,-12.802403,1.939822,-2.225340
6.686434,-10.779679,0.137971,-2.228782
6.719760,-9.904867,-0.510432,-1.672260
6.753113,-9.817326,-0.784728,-0.846381
6.786511,-8.814718,-0.732502,-0.458057
6.819778,-10.368909,-0.750908,-0.762132
6.853116,-10.928275,-1.081170,-0.844435
6.886423,-12.197546,-1.144918,-0.795502
6.919780,-13.350246,-1.029394,-1.261041
6.953112,-14.380089,-1.454978,-2.961733
6.986393,-14.111480,-1.641583,-2.905767
7.019753,-14.042644,-0.647954,-3.288254
7.053112,-13.680059,-0.662020,-3.632583
7.086304,-14.206952,-0.498461,-2.784556
7.119884,-14.626700,0.958014,-1.605070
7.153069,-15.288571,2.029158,-1.440164
7.186450,-14.328611,2.196758,-1.332570
7.219793,-12.067656,2.197058,-1.135640
7.253051,-9.971158,2.425563,-1.299050
7.286398,-7.983601,2.550514,-1.906750
7.319769,-7.124201,2.603937,-1.778506
7.353091,-7.012268,2.824810,-1.549702
7.386472,-7.124650,3.261019,-1.070995
7.419734,-7.108639,3.622108,-1.103916
7.453106,-6.959594,3.749154,-1.255804
7.486445,-9.026612,3.567039,-1.146864
7.519871,-10.422033,4.324980,-0.770063
7.553111,-11.178478,5.151159,-0.612489
7.586443,-8.891934,3.313544,-2.342660
7.619852,-8.494033,2.750288,-2.946619
7.653114,-9.846805,3.150583,-2.654965
7.686446,-11.468635,2.528816,-1.643528
7.719767,-11.471179,1.565714,-0.467933
7.753166,-10.354993,0.585403,-1.201184
7.786410,-8.175742,-0.101159,-2.416434
7.819747,-8.296654,-0.420796,-2.702851
7.853116,-9.420472,-0.574330,-1.615845
7.886464,-11.845885,-0.716191,-2.334580
7.919728,-13.255223,-1.182329,-2.539740
7.953112,-13.405165,-1.707725,-0.868827
7.986445,-13.533110,-1.328680,1.168412
8.019769,-14.052819,-1.304288,-0.787720
8.053113,-13.377780,-0.311856,-1.403501
8.086445,-13.829702,0.388473,-2.787848
8.119868,-13.854243,-0.707362,-2.172816
8.153079,-13.142691,-0.297341,-1.274659
8.186524,-13.193420,1.113044,-1.634101
8.219768,-13.019385,2.095001,-1.635148
8.253155,-12.000317,1.954636,-1.942515
8.286521,-10.276729,1.995339,-2.465068
8.319816,-9.134505,2.022574,-2.813138
8.353067,-8.331670,1.962418,-2.243297
8.386545,-7.459701,1.995189,-2.122835
8.419739,-6.898390,2.345952,-1.507353
8.453112,-7.764673,2.782461,-1.062166
8.486480,-8.233355,2.981486,-0.752105
8.519703,-8.482211,3.483688,-1.080871
8.553120,-8.650111,3.323271,-1.308179
8.586480,-8.581125,3.067680,-2.233122
8.619866,-9.428703,3.594573,-1.606118
8.653111,-10.429664,3.896702,-0.999016
8.686444,-10.960747,3.278527,-0.691350
8.719761,-11.240430,2.804309,-2.052503
8.753213,-11.317646,1.909893,-1.894180
8.786377,-10.434752,0.838150,-0.588246
8.819643,-8.758602,-0.190346,-1.052888
8.853116,-7.408074,-0.554577,-1.217794
8.886417,-7.881544,-0.627603,-1.171106
8.919771,-8.747678,-0.687909,-1.746333
8.953104,-9.953950,-0.244816,0.063000
8.986407,-11.115179,-0.592586,-0.501005
9.019771,-13.044974,-0.799393,-0.331609
9.053110,-14.978660,-0.493971,-0.611441
9.086411,-15.267322,-0.560712,0.080957
9.119707,-15.527251,1.374470,-0.962952
9.153088,-15.317003,1.969002,-2.243447
9.186446,-13.700710,0.597674,-1.010838
9.219901,-11.711506,0.655286,-1.649514
9.253170,-11.390671,1.600431,-1.874876
9.286493,-11.897362,2.323656,-2.395035
9.319696,-11.260183,2.401620,-2.347599
9.353155,-10.078303,2.005664,-1.746034
9.386441,-9.377824,2.059536,-2.056543
9.419837,-8.436271,2.153212,-1.990850
9.453133,-7.564152,2.445914,-1.880862
9.486479,-7.141111,2.865064,-1.924558
9.519772,-6.210182,3.234233,-1.831779
9.553110,-6.010110,3.493265,-1.539227
9.586464,-6.821174,3.809311,-1.125764
9.619851,-7.942299,4.205416,-0.673842
9.653115,-8.832076,4.178630,-1.005301
9.686474,-11.118770,4.879408,-0.994826
9.719742,-11.046792,3.921842,-0.534674
9.753114,-10.593673,3.198169,-0.811514
9.786477,-10.915405,3.730150,-2.584633
9.819737,-12.409890,3.699024,-3.964042
9.853117,-12.869742,2.194514,-2.808050
9.886444,-10.742867,0.695840,-2.141690
9.919744,-8.071292,-0.706764,-2.759566
9.953112,-7.914017,-1.576638,-1.826841
9.986395,-8.257597,-1.416071,-0.681624
10.019805,-9.125975,-1.050493,-0.990936
10.053070,-12.074689,-0.802236,-1.156291
10.086447,-12.509252,-0.503848,-1.199837
10.119876,-13.405015,0.015264,-2.048462
10.153148,-13.744705,-0.109090,-1.962118
10.186439,-13.164090,0.626405,-1.744388
10.219802,-12.999034,1.060819,-2.671875
10.253077,-13.518295,0.510282,-2.289387
10.286433,-13.550468,1.056330,-3.644255
