Timestamp,Milliseconds,X,Y,Z
2019-06-13 19:48:34,8102,5.542472,-7.822891,-4.6120653
2019-06-13 19:48:34,8202,4.8742976,-5.736641,-0.46617982
2019-06-13 19:48:34,8302,6.253032,-6.249039,-0.3744819
2019-06-13 19:48:34,8403,6.700671,-5.936586,0.8689994
2019-06-13 19:48:34,8502,5.4766216,-8.322628,0.35872802
2019-06-13 19:48:35,8602,4.963975,-8.409136,0.49270755
2019-06-13 19:48:35,8702,5.810153,-8.352566,-1.4427747
2019-06-13 19:48:35,8802,5.5837765,-9.122416,-0.012210428
2019-06-13 19:48:35,8902,5.4489064,-8.735245,1.0535349
2019-06-13 19:48:35,9003,5.6014743,-8.285499,0.46590206
2019-06-13 19:48:35,9102,5.3760552,-10.912503,2.984267
2019-06-13 19:48:35,9202,4.583029,-9.7503195,0.19246508
2019-06-13 19:48:35,9302,2.008381,-11.4122305,0.45863327
2019-06-13 19:48:35,9402,2.5901623,-10.620066,-2.1817212
2019-06-13 19:48:35,9503,3.6607249,-10.170454,-2.865984
2019-06-13 19:48:36,9602,5.3047466,-6.4996257,-1.488887
2019-06-13 19:48:36,9702,5.543247,-8.341715,-1.3365871
2019-06-13 19:48:36,9802,6.561951,-7.4201484,-1.4799136
2019-06-13 19:48:36,9902,6.2017965,-8.526384,-1.5487804
2019-06-13 19:48:36,10002,4.599271,-7.9517856,-1.5870588
2019-06-13 19:48:36,10103,4.8937864,-6.338285,-1.2980021
2019-06-13 19:48:36,10202,6.1812735,-6.720247,-0.93791413
2019-06-13 19:48:36,10302,7.3117867,-8.202085,-1.4698387
2019-06-13 19:48:36,10402,7.727889,-8.95236,-1.9316227
2019-06-13 19:48:36,10502,8.451379,-8.9354,-0.6521135
2019-06-13 19:48:37,10603,5.1377172,-8.967711,-3.1707945
2019-06-13 19:48:37,10702,3.970046,-7.1449394,1.5865704
2019-06-13 19:48:37,10802,2.922401,-5.9849586,-0.64328367
2019-06-13 19:48:37,10902,3.983904,-6.9817414,-0.24285825
2019-06-13 19:48:37,11003,5.698698,-12.389572,-1.8263545
2019-06-13 19:48:37,11102,5.0091968,-12.231775,-1.2976094
2019-06-13 19:48:37,11202,8.937746,-9.815509,-1.2158043
2019-06-13 19:48:37,11302,1.6545466,-4.163182,-0.6709894
2019-06-13 19:48:37,11403,5.334224,-4.2976685,-0.20877439
2019-06-13 19:48:37,11502,4.5298963,-9.5627,-0.18858649
2019-06-13 19:48:38,11602,8.193858,-14.819505,-1.3220208
2019-06-13 19:48:38,11702,9.81526,-9.37375,-1.3592458
2019-06-13 19:48:38,11802,4.178447,-5.9787335,-0.7903834
2019-06-13 19:48:38,11903,3.246566,-4.905432,-0.26361117
2019-06-13 19:48:38,12002,2.6657903,-6.3188057,-0.66887295
2019-06-13 19:48:38,12102,4.584772,-12.313082,-0.26987442
2019-06-13 19:48:38,12202,6.8124423,-12.568295,-2.0928385
2019-06-13 19:48:38,12303,7.702865,-8.827949,-1.878596
2019-06-13 19:48:38,12402,2.6105707,-3.4397016,-1.3118215
2019-06-13 19:48:38,12502,3.8121724,-5.331973,0.39843348
2019-06-13 19:48:39,12602,6.4859595,-9.063652,-0.36759615
2019-06-13 19:48:39,12702,9.133257,-12.612511,-0.8988695
2019-06-13 19:48:39,12803,10.278222,-8.595136,-0.92020667
2019-06-13 19:48:39,12902,3.6693246,-6.7599134,-0.039791632
2019-06-13 19:48:39,13002,3.0713778,-4.603255,-0.36769193
2019-06-13 19:48:39,13103,3.662535,-6.899716,-0.93291503
2019-06-13 19:48:39,13202,5.779344,-12.460661,0.5542864
2019-06-13 19:48:39,13302,5.4393487,-9.995438,-0.012344505
2019-06-13 19:48:39,13402,6.885494,-8.326018,-2.5147355
2019-06-13 19:48:39,13503,3.1618116,-3.6699378,-1.2654026
2019-06-13 19:48:40,13602,3.6679745,-4.972508,-0.1438149
2019-06-13 19:48:40,13702,6.596083,-9.663668,-1.7378266
2019-06-13 19:48:40,13802,8.431929,-13.713479,-0.7374907
2019-06-13 19:48:40,13902,8.640013,-10.909908,-1.301488
2019-06-13 19:48:40,14003,5.315597,-3.9074905,0.9158492
2019-06-13 19:48:40,14102,3.050443,-4.4015865,-0.38354152
2019-06-13 19:48:40,14202,3.6812289,-8.544945,-0.88395846
2019-06-13 19:48:40,14303,6.6726403,-12.126287,0.5927085
2019-06-13 19:48:40,14402,9.557175,-11.584546,1.3620996
2019-06-13 19:48:40,14502,4.5791306,-5.0975523,-1.948497
2019-06-13 19:48:41,14602,3.2252772,-3.3091123,-0.77984893
2019-06-13 19:48:41,14702,3.8021166,-6.5429416,-0.38601235
2019-06-13 19:48:41,14802,7.347652,-11.323923,0.22793758
2019-06-13 19:48:41,14902,8.479066,-10.247451,-0.26616818
2019-06-13 19:48:41,15002,5.819318,-10.664828,-0.98808706
2019-06-13 19:48:41,15103,3.4313986,-4.28497,1.3707954
2019-06-13 19:48:41,15202,2.649596,-5.7644906,-1.0028449
2019-06-13 19:48:41,15302,4.2336283,-9.493929,-1.910075
2019-06-13 19:48:41,15402,6.9614763,-12.848551,-1.3434919
2019-06-13 19:48:41,15502,10.421338,-10.11962,0.46916777
2019-06-13 19:48:42,15603,3.5254235,-5.7188377,-1.6732023
2019-06-13 19:48:42,15702,3.4700122,-3.9703908,0.35987726
2019-06-13 19:48:42,15802,3.9432406,-5.7143273,-0.47367844
2019-06-13 19:48:42,15902,8.499253,-10.05467,-0.4174626
2019-06-13 19:48:42,16002,8.700338,-11.280004,-0.1628057
2019-06-13 19:48:42,16103,5.026224,-9.487752,-0.29148924
2019-06-13 19:48:42,16202,2.8583033,-4.985159,-0.5833137
2019-06-13 19:48:42,16302,2.6580715,-6.321315,-0.29142225
2019-06-13 19:48:42,16402,5.026119,-9.098838,-0.463709
2019-06-13 19:48:42,16502,5.172989,-14.452521,0.1441884
2019-06-13 19:48:43,16603,5.4824247,-7.462305,-2.1262138
2019-06-13 19:48:43,16702,3.813111,-5.9151244,-2.4481096
2019-06-13 19:48:43,16802,5.100215,-9.15696,0.015571888
2019-06-13 19:48:43,16902,6.6461887,-8.281697,-0.68004906
2019-06-13 19:48:43,17003,3.330296,-9.28866,-1.4291085
2019-06-13 19:48:43,17102,5.184261,-8.484533,-0.5431582
2019-06-13 19:48:43,17202,4.9252467,-7.926608,-0.44960237
2019-06-13 19:48:43,17303,5.409105,-7.9046583,-0.88510764
2019-06-13 19:48:43,17402,6.244672,-8.456647,-0.7176093
2019-06-13 19:48:43,17502,7.0744543,-6.9036617,-0.05191587
2019-06-13 19:48:44,17603,7.4309983,-6.8572426,-1.0475589
2019-06-13 19:48:44,17702,5.2087483,-7.484064,0.70829105
2019-06-13 19:48:44,17802,6.320721,-9.069667,0.5667363
2019-06-13 19:48:44,17902,5.852617,-8.6674595,-0.37774757
2019-06-13 19:48:44,18002,5.58935,-8.429515,1.173427
2019-06-13 19:48:44,18102,5.004964,-9.654504,1.3891253
2019-06-13 19:48:44,18203,5.989325,-8.26103,-0.15814182
2019-06-13 19:48:44,18302,5.155674,-8.809446,1.2533455
2019-06-13 19:48:44,18402,4.5106277,-9.333393,1.7884208
2019-06-13 19:48:44,18502,3.6880283,-11.180625,-0.8238544
2019-06-13 19:48:45,18602,3.956811,-10.123422,-1.3182858
2019-06-13 19:48:45,18703,3.0999644,-8.41265,-0.24177606
2019-06-13 19:48:45,18802,3.5978246,-9.744143,-2.1120114
2019-06-13 19:48:45,18902,3.8748717,-9.509855,-1.2564003
2019-06-13 19:48:45,19002,5.2815228,-8.3864,-1.4317997
2019-06-13 19:48:45,19103,5.6078906,-8.273901,-0.9559856
2019-06-13 19:48:45,19202,5.9388943,-7.905156,-0.78347856
2019-06-13 19:48:45,19302,5.3625617,-7.546591,-1.7076883
2019-06-13 19:48:45,19402,5.5194774,-8.578903,-0.20943518
2019-06-13 19:48:45,19503,5.8911443,-7.730839,-0.6476986
2019-06-13 19:48:46,19602,5.302764,-7.8421307,-0.8907579
2019-06-13 19:48:46,19702,4.8137627,-7.3961296,-1.0123355
2019-06-13 19:48:46,19802,6.4253764,-6.3948936,-1.4086621
2019-06-13 19:48:46,19903,7.810384,-7.1247993,-2.1093779
2019-06-13 19:48:46,20002,8.365129,-10.643481,-0.5714002
2019-06-13 19:48:46,20102,7.7312126,-9.152372,-0.97062856
2019-06-13 19:48:46,20206,5.209984,-9.335509,-0.5207102
2019-06-13 19:48:46,20302,3.3341558,-6.787964,0.23935314
2019-06-13 19:48:46,20402,2.4571214,-5.267138,-0.42360133
2019-06-13 19:48:46,20502,4.465148,-7.5965624,-0.45448652
2019-06-13 19:48:47,20603,8.161575,-12.727624,-1.0233488
2019-06-13 19:48:47,20702,6.211364,-9.279323,-2.0274866
2019-06-13 19:48:47,20802,5.5430746,-10.566014,-2.2074826
2019-06-13 19:48:47,20903,3.9831662,-4.5566254,-0.58248055
