time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.010779,-0.819445,-5.822457,-9.601840
0.043964,-1.485954,-6.847512,-7.192588
0.077332,-2.524327,-6.767004,-7.172237
0.110804,0.781884,-6.200904,-7.995572
0.144719,2.392940,-4.906643,-8.646369
0.177318,-0.473919,-4.663622,-9.861171
0.210734,0.990187,-4.896766,-8.569752
0.244062,-0.424836,-5.644083,-8.629609
0.277347,0.190196,-5.519131,-8.087902
0.310691,-1.366839,-5.046708,-8.106308
0.344112,-1.567809,-5.386996,-9.013294
0.377343,-1.146265,-6.613021,-9.315124
0.410692,-0.909081,-6.470112,-8.750371
0.444287,-2.902175,-3.548184,-5.209370
0.477409,0.110885,-6.035998,-8.134291
0.510733,-1.668070,-6.792593,-7.298535
0.543964,-1.907349,-6.351296,-4.428234
0.577419,-2.205887,-5.997240,-6.637114
0.610650,-4.814313,-6.389455,0.852965
0.644008,-4.046944,-4.999720,-7.241222
0.677341,-2.352387,-5.908652,-8.988004
0.710634,-2.156505,-5.246332,-6.142095
0.744001,-5.451792,-6.598805,-8.107954
0.777343,-4.257192,-4.919811,-7.317540
0.810654,-5.853733,-3.511521,-8.003354
0.844011,-9.030503,-0.421095,-13.491509
0.877348,-7.882891,-3.907327,-9.542431
0.910661,-6.107976,-4.219781,6.707595
0.944012,-3.762024,-1.778806,-4.278741
0.977392,-7.007779,1.422655,0.482898
1.010769,-5.084418,4.833916,0.777545
1.043972,-0.502950,4.579074,-4.551091
1.077346,-3.113621,5.614154,-3.328358
1.110665,-0.903843,7.083050,-3.098208
1.143973,-10.975113,9.140939,-2.944824
1.177343,-11.357600,9.407603,-0.924644
1.210624,-14.258279,8.312516,-0.808670
1.244008,-16.440522,8.013829,-0.649151
1.277341,-23.102477,5.929302,-0.890675
1.310734,-17.965234,1.060968,-8.489244
1.344012,-15.568104,4.203919,-5.410490
1.377340,-7.706612,8.390929,-2.372439
1.410753,-10.383874,7.047734,5.239448
1.443981,-10.792549,9.557695,8.174994
1.477319,-9.121486,10.920044,-4.146007
1.510731,-3.040146,12.989906,2.804010
1.543966,-5.668026,3.891166,-8.457071
1.577342,-12.514789,9.121635,-1.974988
1.610674,-5.755866,5.166273,-4.698639
1.644012,-7.088886,3.602055,1.165868
1.677343,-6.542839,3.073068,-1.262388
1.710638,-4.700584,3.119158,-0.932425
1.744010,-1.080272,2.489161,-1.864701
1.777340,-4.813116,1.637543,-5.694513
1.810669,-6.375089,5.186026,1.261640
1.844013,-12.068704,3.434156,-3.973020
1.877305,-14.549634,2.308691,-9.428553
1.910664,-12.738655,4.006540,-2.362264
1.944009,-9.973702,4.107849,-1.372824
1.977345,-12.051794,4.867586,-1.831480
2.010774,-10.225851,5.786244,5.786244
2.043974,-6.928319,3.768758,-1.180683
2.077452,-2.579545,4.848132,0.061952
2.110699,0.263372,4.071485,-2.210226
2.144015,-4.051583,4.850826,3.297083
2.177415,-3.812304,9.293575,-1.026700
2.210674,-8.248469,14.962050,6.412948
2.244013,-11.224119,13.627534,-4.757299
2.277362,-10.327159,9.242996,-11.170846
2.310721,-1.481465,6.083734,-1.501667
2.343983,-4.293406,5.521974,-2.415686
2.377493,-9.357024,6.607335,2.217708
2.410715,-7.861492,10.086384,1.163474
2.444000,-8.451085,9.425111,-0.334602
2.477451,-12.126765,13.293681,-1.447347
2.510640,-4.320192,9.068063,-0.965945
2.543971,-6.658961,11.794558,-2.663046
2.577276,-5.877676,15.279143,9.318715
2.610831,-6.905573,10.995764,-1.552546
2.644014,-4.504552,12.731023,-1.660438
2.677310,-1.747680,12.282543,-3.390760
2.710677,0.449228,6.080442,0.060007
2.744010,-1.048249,5.343301,0.944097
2.777307,-3.442985,4.201675,0.588246
